Date,Time,Open,High,Low,Close
2023.01.02,04:00:00,0.92412,0.92462,0.92399,0.92434
2023.01.02,08:00:00,0.92438,0.92571,0.92206,0.92456
2023.01.02,12:00:00,0.92456,0.92470,0.92356,0.92410
2023.01.02,16:00:00,0.92411,0.92579,0.92407,0.92556
2023.01.02,20:00:00,0.92556,0.92603,0.92417,0.92578
2023.01.03,00:00:00,0.92526,0.92722,0.92309,0.92440
2023.01.03,04:00:00,0.92441,0.92480,0.92307,0.92463
2023.01.03,08:00:00,0.92463,0.93819,0.92420,0.93700
2023.01.03,12:00:00,0.93700,0.93984,0.93487,0.93570
2023.01.03,16:00:00,0.93571,0.93920,0.93177,0.93711
2023.01.03,20:00:00,0.93712,0.93758,0.93482,0.93577
2023.01.04,00:00:00,0.93573,0.93680,0.93317,0.93337
2023.01.04,04:00:00,0.93341,0.93434,0.93247,0.93393
2023.01.04,08:00:00,0.93393,0.93410,0.92529,0.92719
2023.01.04,12:00:00,0.92718,0.92906,0.92633,0.92741
2023.01.04,16:00:00,0.92742,0.93144,0.92667,0.92892
2023.01.04,20:00:00,0.92896,0.93094,0.92864,0.92977
2023.01.05,00:00:00,0.92916,0.93008,0.92796,0.92829
2023.01.05,04:00:00,0.92830,0.93080,0.92830,0.93014
2023.01.05,08:00:00,0.93012,0.93078,0.92608,0.92657
2023.01.05,12:00:00,0.92648,0.93349,0.92605,0.93345
2023.01.05,16:00:00,0.93344,0.93780,0.93280,0.93612
2023.01.05,20:00:00,0.93613,0.93688,0.93474,0.93623
2023.01.06,00:00:00,0.93584,0.93641,0.93510,0.93609
2023.01.06,04:00:00,0.93611,0.93777,0.93526,0.93749
2023.01.06,08:00:00,0.93751,0.94049,0.93648,0.93989
2023.01.06,12:00:00,0.93990,0.94082,0.93446,0.93511
2023.01.06,16:00:00,0.93511,0.93995,0.92810,0.92825
2023.01.06,20:00:00,0.92823,0.92865,0.92701,0.92797
2023.01.09,00:00:00,0.92740,0.92823,0.92625,0.92657
2023.01.09,04:00:00,0.92658,0.92661,0.92522,0.92562
2023.01.09,08:00:00,0.92560,0.92574,0.92166,0.92448
2023.01.09,12:00:00,0.92447,0.92517,0.91882,0.91924
2023.01.09,16:00:00,0.91923,0.92072,0.91667,0.91961
2023.01.09,20:00:00,0.91961,0.92162,0.91941,0.92132
2023.01.10,00:00:00,0.92064,0.92217,0.92044,0.92068
2023.01.10,04:00:00,0.92066,0.92227,0.92058,0.92095
2023.01.10,08:00:00,0.92095,0.92237,0.91951,0.91987
2023.01.10,12:00:00,0.91984,0.92519,0.91978,0.92439
2023.01.10,16:00:00,0.92439,0.92439,0.92051,0.92282
2023.01.10,20:00:00,0.92283,0.92357,0.92225,0.92276
2023.01.11,00:00:00,0.92217,0.92356,0.92158,0.92310
2023.01.11,04:00:00,0.92312,0.92335,0.92100,0.92145
2023.01.11,08:00:00,0.92145,0.92349,0.92046,0.92311
2023.01.11,12:00:00,0.92311,0.92960,0.92203,0.92905
2023.01.11,16:00:00,0.92903,0.93178,0.92816,0.93139
2023.01.11,20:00:00,0.93139,0.93316,0.93019,0.93141
2023.01.12,00:00:00,0.93061,0.93160,0.93019,0.93153
2023.01.12,04:00:00,0.93153,0.93177,0.93062,0.93150
2023.01.12,08:00:00,0.93149,0.93481,0.93046,0.93108
2023.01.12,12:00:00,0.93109,0.93618,0.92656,0.92768
2023.01.12,16:00:00,0.92767,0.93437,0.92739,0.92805
2023.01.12,20:00:00,0.92806,0.92954,0.92680,0.92739
2023.01.13,00:00:00,0.92744,0.92861,0.92575,0.92803
2023.01.13,04:00:00,0.92804,0.93082,0.92798,0.93047
2023.01.13,08:00:00,0.93046,0.93158,0.92709,0.92852
2023.01.13,12:00:00,0.92850,0.93094,0.92677,0.93083
2023.01.13,16:00:00,0.93072,0.93166,0.92559,0.92645
2023.01.13,20:00:00,0.92645,0.92724,0.92563,0.92622
2023.01.16,00:00:00,0.92685,0.92729,0.92304,0.92313
